SAMPLE_ID,Average initial ?Hf ,Group Age (Ma),Latitude GDA 1994,Longitude GDA 1994,Rock Type,References,,,,,,,,,,,,,,
178105,1.0,2755,-26.8808,118.4894,igneous felsic volcanic,Ivanic et al. (2012) - GSWA batch 8,,,,,,,,,,,,,,
178142,0.9,2806,-27.0344,118.3843,meta-igneous felsic volcanic,Ivanic et al. (2012) - GSWA batch 8,,,,,,,,,,,,,,
178194,-1.6,2744,-27.2333,117.6669,meta-igneous felsic intrusive,Ivanic et al. (2012) - GSWA batch 8,,,,,,,,,,,,,,
178199,0.1,2675,-27.0238,117.9408,igneous granitic,Ivanic et al. (2012) - GSWA batch 8,,,,,,,,,,,,,,
182711,-0.7,2680,-31.4552,119.2808,meta-igneous felsic intrusive,GSWA batch 39,,,,,,,,,,,,,,
183338,-1.9,2747,-26.5092,117.9898,meta-igneous felsic volcanic,GSWA batch 39,,,,,,,,,,,,,,
183975,1.1,2725,-27.1531,117.8640,meta-igneous felsic volcanic,GSWA batch 32,,,,,,,,,,,,,,
184111,2.0,2689,-27.1366,118.2815,meta-igneous felsic volcanic,GSWA batch 32,,,,,,,,,,,,,,
185138,-0.6,2739,-26.3834,118.3643,igneous felsic volcanic,GSWA batch 58,,,,,,,,,,,,,,
185920,-4.5,2748,-27.0749,117.7311,meta-igneous felsic intrusive,GSWA batch 32,,,,,,,,,,,,,,
185923,0.4,2724,-27.4119,117.6962,meta-igneous felsic intrusive,Ivanic et al. (2012) - GSWA batch 8,,,,,,,,,,,,,,
185929,-5.6,2606,-26.6976,117.9742,igneous granitic,Ivanic et al. (2012) - GSWA batch 14,,,,,,,,,,,,,,
185933,0.4,2759,-27.3489,118.1628,igneous granitic,Ivanic et al. (2012) - GSWA batch 8,,,,,,,,,,,,,,
193972,0.7,2979,-26.9715,117.5264,meta-igneous felsic volcanic,Ivanic et al. (2012) - GSWA batch 19,,,,,,,,,,,,,,
193979,-2.6,2818,-28.9832,118.0771,meta-igneous felsic volcanic,GSWA batch 32,,,,,,,,,,,,,,
198212,-2.8,2681,-29.1913,118.1337,igneous granitic,GSWA batch 57,,,,,,,,,,,,,,
198213,-0.3,2945,-29.0585,118.3470,meta-igneous felsic intrusive,GSWA batch 57,,,,,,,,,,,,,,
198294,0.4,2801,-29.1035,117.0023,meta-igneous felsic intrusive,GSWA batch 58,,,,,,,,,,,,,,
198298,0.0,2813,-28.3192,116.8282,meta-igneous felsic volcanic,GSWA batch 57,,,,,,,,,,,,,,
198299,0.2,2793,-28.2946,116.8228,meta-igneous felsic intrusive,GSWA batch 58,,,,,,,,,,,,,,
203701,1.5,2958,-28.6881,116.9098,meta-igneous felsic volcanic,GSWA batch 57,,,,,,,,,,,,,,
203702,0.9,2962,-28.7782,116.9600,meta-igneous felsic volcanic,GSWA batch 57,,,,,,,,,,,,,,
203703,-0.5,2963,-28.7762,116.9604,meta-igneous felsic volcanic,GSWA batch 57,,,,,,,,,,,,,,
207576,1.7,2782,-26.8075,118.2871,meta-igneous felsic volcanic,GSWA batch 58,,,,,,,,,,,,,,
207630,-5.8,2626,-29.1457,117.1378,igneous granitic,GSWA batch 58,,,,,,,,,,,,,,
207683,0.8,2951,-28.6389,116.8950,meta-igneous felsic intrusive,GSWA batch 57,,,,,,,,,,,,,,
209689,0.2,2960,-28.7146,116.6673,meta-igneous felsic intrusive,GSWA batch 56,,,,,,,,,,,,,,
211102,2.0,2947,-28.8324,116.9914,igneous felsic volcanic,GSWA batch 57,,,,,,,,,,,,,,
214101,-3.4,2763,-28.4740,116.7528,meta-igneous felsic intrusive,GSWA batch 56,,,,,,,,,,,,,,
214138,-3.2,2763,-28.4690,116.7383,meta-igneous felsic intrusive,GSWA batch 56,,,,,,,,,,,,,,
214139,-3.5,2761,-28.4685,116.7390,meta-igneous felsic intrusive,GSWA batch 56,,,,,,,,,,,,,,
99969049,-4.5,2640,-30.9081,118.1124,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC48,-2.3,2675,-30.9538,118.8805,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
YQ45,-6.3,2637,-31.3530,119.1560,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
YQ46,-6.4,2632,-31.4800,119.0500,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
205930,-0.4,3010,-31.0310,116.6199,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
205931,-0.2,3010,-31.0310,116.6199,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
205932,-5.9,2673,-31.0337,116.6256,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
205933,-2.1,2670,-30.9179,116.6492,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
224345,-3.3,2648,-34.1201,119.0081,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
224410,-4.8,2662,-31.6949,117.9694,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
97969138,-5.4,2626,-30.9514,117.8597,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
99967055,-5.5,2641,-30.6329,117.4007,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
95YQ120,-0.5,2781,-31.2990,118.3600,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
95YQGF,-3.8,2632,-33.0680,118.3150,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
99967049A,-0.7,2787,-31.1004,117.1007,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC76,-2.2,2671,-32.0354,119.4370,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC82,-3.0,2664,-32.6760,119.4155,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC83,-2.0,2639,-32.8199,119.0354,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
YQ13,-3.8,2631,-32.4520,118.8920,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
YQ18,-4.0,2663,-32.2430,119.1150,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
YQ19,-2.6,2691,-32.1240,119.0240,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
YQ21,0.1,2637,-32.0710,118.7590,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
205942,-0.5,2702,-33.7363,117.2423,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
224305,-1.9,2611,-33.4001,115.9789,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
224307,-0.8,2629,-33.4810,116.1113,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
224309,-1.5,2615,-33.8575,116.4219,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
224316,-0.4,2647,-33.8647,117.0684,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
224332,-5.3,2655,-32.9180,117.2127,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
224339,-2.9,2641,-33.8807,118.3646,meta-igneous felsic intrusive,GSWA batch 61,,,,,,,,,,,,,,
YQ3,-1.1,2646,-33.2900,117.6230,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
